Symbol,Date,Open,High,Low,Close,Volume
A,28-Jan-2020,86.85,87.48,86.19,87.18,1652200
AA,28-Jan-2020,15.1,15.25,14.65,14.71,7371900
AAAU,28-Jan-2020,15.72,15.73,15.65,15.65,37600
AACG,28-Jan-2020,1.33,1.34,1.2137,1.26,33200
AADR,28-Jan-2020,54.37,54.615,54.22,54.615,6200
AAL,28-Jan-2020,26.36,27.115,26.26,26.9,11939100
AAMC,28-Jan-2020,13.3,13.34,13.3,13.34,600
AAME,28-Jan-2020,1.81,2,1.81,1.95,4600
AAN,28-Jan-2020,61.77,63.06,61.6087,62.77,382200
AAOI,28-Jan-2020,13.35,13.38,12.91,12.94,602600
AAON,28-Jan-2020,53.67,53.81,53.31,53.69,99400
AAP,28-Jan-2020,139.78,140.24,137.37,138.58,923900
AAPL,28-Jan-2020,312.6,318.4,312.19,317.69,40558400
AAT,28-Jan-2020,47.73,47.94,47.27,47.34,147700
AAU,28-Jan-2020,0.51,0.5149,0.5,0.5053,153500
AAWW,28-Jan-2020,24.04,24.05,23.52,23.69,221600
AAXJ,28-Jan-2020,70.84,71.31,70.53,71.1,1202600
AAXN,28-Jan-2020,78.31,80.14,77.79,78.97,512600
AB,28-Jan-2020,33.59,33.73,33.47,33.72,269500
ABB,28-Jan-2020,23.05,23.37,23.04,23.34,2756700
ABBV,28-Jan-2020,84.99,84.99,83.64,83.77,8614300
ABC,28-Jan-2020,88.29,89.7,87.8317,89.11,1144800
ABCB,28-Jan-2020,40.85,41.34,40.5,41.14,329900
ABDC,28-Jan-2020,9.45,9.45,9.27,9.285,19200
ABEO,28-Jan-2020,2.41,2.51,2.39,2.46,871800
ABEQ,28-Jan-2020,24.7,24.8,24.65,24.7,55500
ABEV,28-Jan-2020,4.39,4.49,4.37,4.48,12770900
ABG,28-Jan-2020,100.46,101.41,99.67,100.29,99200
ABIO,28-Jan-2020,5.4,5.57,5.4,5.55,5400
ABM,28-Jan-2020,39.22,39.65,39.1,39.12,192100
ABMD,28-Jan-2020,182.26,187.12,181.61,187.01,592500
ABR,28-Jan-2020,14.62,14.83,14.61,14.78,486300
ABR-A,28-Jan-2020,26.4465,26.4465,26.4245,26.4245,900
ABR-B,28-Jan-2020,26.25,26.25,26.25,26.25,100
ABR-C,28-Jan-2020,26.6,26.6,26.6,26.6,1200
ABT,28-Jan-2020,89.7,90.03,89.39,89.54,4983700
ABTX,28-Jan-2020,36.63,37.1,36.6,36.67,73700
ABUS,28-Jan-2020,2.98,2.98,2.68,2.76,331500
AC,28-Jan-2020,43.35,45,43.04,43.88,11600
ACA,28-Jan-2020,44.95,45.49,44.645,45.15,321700
ACAD,28-Jan-2020,40.55,41.76,39.9,41.55,1319800
ACAM,28-Jan-2020,10.06,10.06,10.06,10.06,53900
ACAMW,28-Jan-2020,1,1,0.98,0.98,5300
ACB,28-Jan-2020,1.95,2,1.9,1.97,18158700
ACBI,28-Jan-2020,17.66,17.85,17.495,17.68,162200
ACC,28-Jan-2020,46.86,47.09,46.61,46.68,569400
ACCO,28-Jan-2020,9.13,9.18,9.01,9.02,270600
ACE.W,28-Jan-2020,2.89,2.89,2.85,2.85,7100
ACEL,28-Jan-2020,12.1,12.25,11.9845,12.1,81400
ACER,28-Jan-2020,4.02,4.11,3.91,4,20100
ACES,28-Jan-2020,36.37,36.66,36.062,36.63,26200
ACGL,28-Jan-2020,44.77,45.05,44.65,44.66,2173000
ACGLO,28-Jan-2020,26.49,26.49,26.3,26.37,26000
ACGLP,28-Jan-2020,25.77,25.79,25.7,25.7,18100
ACH,28-Jan-2020,7.4,7.48,7.38,7.45,23800
ACHC,28-Jan-2020,32.4,33,32.37,32.49,317000
ACHV,28-Jan-2020,0.56,0.57,0.555,0.5634,687500
ACIA,28-Jan-2020,68.7,68.7,68.44,68.51,678100
ACIO,28-Jan-2020,25.37,25.47,25.37,25.45,38700
ACIU,28-Jan-2020,8.68,8.85,8.59,8.8,52100
ACIW,28-Jan-2020,35.58,35.91,35.33,35.45,259400
ACLS,28-Jan-2020,23.6,24.79,23.31,24.57,209800
ACM,28-Jan-2020,49.15,49.405,48.7,49.22,1173400
ACMR,28-Jan-2020,39.78,42.95,36.53,38.07,938300
ACN,28-Jan-2020,207.87,210.9588,207.25,210.24,1810100
ACNB,28-Jan-2020,33.49,33.49,32.7124,33.09,25600
ACOR,28-Jan-2020,2.26,2.27,2.08,2.11,1624800
ACP,28-Jan-2020,11.74,11.74,11.63,11.64,140700
ACRE,28-Jan-2020,16.29,16.37,16.255,16.3,471300
ACRS,28-Jan-2020,1.5,1.5,1.41,1.43,750900
ACRX,28-Jan-2020,1.75,1.77,1.74,1.77,456100
ACSG,28-Jan-2020,27.5,27.705,27.5,27.68,700
ACSI,28-Jan-2020,35.97,36.1655,35.97,36.1305,1000
ACST,28-Jan-2020,0.63,0.747,0.6202,0.7395,3405200
ACT,28-Jan-2020,24.8338,25.12,24.78,25.0875,1100
ACTG,28-Jan-2020,2.53,2.55,2.5,2.51,343100
ACTT,28-Jan-2020,10.11,10.16,10.11,10.16,13700
ACTTW,28-Jan-2020,1.3,1.3,1.3,1.3,500
ACU,28-Jan-2020,24.16,24.5,24.16,24.35,2300
ACV,28-Jan-2020,25.14,25.17,25.07,25.1,20500
ACWF,28-Jan-2020,31.19,31.27,31.03,31.25,6300
ACWI,28-Jan-2020,79.08,79.7,79,79.52,1828100
ACWV,28-Jan-2020,97.74,98.02,97.64,97.83,277000
ACWX,28-Jan-2020,48.19,48.43,48.065,48.39,2567900
ACY,28-Jan-2020,4.53,4.605,4.5,4.5,4500
ADAP,28-Jan-2020,3.68,4.19,3.68,3.96,1677600
ADBE,28-Jan-2020,349,355.66,347.12,354.63,2270700
ADC,28-Jan-2020,75.12,76.13,75.12,76.01,355500
ADES,28-Jan-2020,10.74,11.12,10.7,11.08,105800
ADI,28-Jan-2020,114.03,114.59,113.05,114.31,2670400
ADIL,28-Jan-2020,1.96,2.04,1.95,1.97,29700
ADM,28-Jan-2020,43.7,44.105,43.525,43.92,2219400
ADMA,28-Jan-2020,4.17,4.25,4,4.1,799700
ADME,28-Jan-2020,30.85,31.0299,30.85,30.94,36400
ADMP,28-Jan-2020,0.69,0.7,0.67,0.6855,311800
ADMS,28-Jan-2020,5.33,5.46,5.19,5.3,215100
ADNT,28-Jan-2020,19.65,20.12,18.91,18.95,1952900
ADP,28-Jan-2020,176.03,178.955,175.9,178.3,1641900
ADPT,28-Jan-2020,30.16,32.17,30.16,31.09,1325000
ADRA,28-Jan-2020,33.851,34.1563,33.851,34.1563,400
ADRD,28-Jan-2020,21.97,22.01,21.97,22.01,500
ADRE,28-Jan-2020,42.76,43.2,42.605,43.1942,9000
ADRO,28-Jan-2020,1.42,1.5,1.38,1.48,678200
ADRU,28-Jan-2020,21.332,21.355,21.332,21.355,100
ADS,28-Jan-2020,106.18,108.14,106.03,107.33,826200
ADSK,28-Jan-2020,196.26,200.43,195.675,200.03,1270100
ADSW,28-Jan-2020,32.98,32.99,32.95,32.96,399400
ADT,28-Jan-2020,6.5,6.56,6.395,6.46,1300500
ADTN,28-Jan-2020,9.6,9.81,9.6,9.65,161200
ADUS,28-Jan-2020,96.97,98.83,96.43,98.09,158500
ADVM,28-Jan-2020,11.37,11.39,10.55,10.67,694500
ADX,28-Jan-2020,15.93,16.044,15.9,16.01,104400
ADXS,28-Jan-2020,0.81,0.83,0.77,0.7945,3070300
AE,28-Jan-2020,35.58,36.62,35.176,35.46,8800
AEB,28-Jan-2020,24.93,24.95,24.86,24.9289,16100
AEE,28-Jan-2020,80.2,80.67,79.97,80.32,1350600
AEF,28-Jan-2020,7.55,7.63,7.55,7.59,47500
AEFC,28-Jan-2020,25.75,25.7501,25.56,25.6,151100
AEG,28-Jan-2020,4.1,4.13,4.08,4.11,1247800
AEGN,28-Jan-2020,22.49,22.56,21.91,21.99,43800
AEHR,28-Jan-2020,2.07,2.16,2,2.15,31600
AEIS,28-Jan-2020,72.33,73.78,71.1,73.19,292400
AEL,28-Jan-2020,26.89,27.33,26.765,26.99,290700
AEL-A,28-Jan-2020,26.36,26.48,26.29,26.29,59500
AEM,28-Jan-2020,60.99,61.31,59.33,59.46,1120400
AEMD,28-Jan-2020,3.8,3.95,2.8,2.99,5498100
AEO,28-Jan-2020,14.63,14.8,14.52,14.73,2645400
AEP,28-Jan-2020,101.83,102.55,101.705,102.19,1572400
AEP-B,28-Jan-2020,57.382,57.4,57.215,57.35,84200
